date,call_pairs_tested,call_violations,call_violation_rate,put_pairs_tested,put_violations,put_violation_rate,year,call_rate_30d,put_rate_30d
2000-10-25,304,0,0.0,261,0,0.0,2000,0.008639514024475223,0.0019962867865642776
2000-10-26,284,0,0.0,442,0,0.0,2000,0.008639514024475223,0.0019962867865642776
2000-10-27,198,0,0.0,226,0,0.0,2000,0.008639514024475223,0.0019962867865642776
2000-10-30,286,0,0.0,248,3,0.012096774193548387,2000,0.008639514024475223,0.00239951259301589
2000-10-31,646,0,0.0,493,0,0.0,2000,0.008639514024475223,0.00239951259301589
2000-11-01,277,3,0.010830324909747292,331,0,0.0,2000,0.009000524854800135,0.00239951259301589
2000-11-02,236,0,0.0,214,0,0.0,2000,0.009000524854800135,0.0022392561827594805
2000-11-03,343,0,0.0,196,0,0.0,2000,0.009000524854800135,0.0022392561827594805
2000-11-06,228,0,0.0,228,0,0.0,2000,0.007730683584958863,0.0022392561827594805
2000-11-07,185,0,0.0,241,0,0.0,2000,0.007153483007758286,0.0022392561827594805
2000-11-08,262,2,0.007633587786259542,323,0,0.0,2000,0.007407935933966938,0.0022392561827594805
2000-11-09,496,2,0.004032258064516129,624,0,0.0,2000,0.007542344536117475,0.0022392561827594805
2000-11-10,439,0,0.0,594,0,0.0,2000,0.007542344536117475,0.0022392561827594805
2000-11-13,686,3,0.004373177842565598,1003,0,0.0,2000,0.007530139247773296,0.0022392561827594805
2000-11-14,446,0,0.0,463,24,0.05183585313174946,2000,0.007039943169341923,0.003967117953817796
2000-11-15,243,0,0.0,515,32,0.062135922330097085,2000,0.007039943169341923,0.006038315364821032
2000-11-16,99,0,0.0,179,0,0.0,2000,0.007039943169341923,0.006038315364821032
2000-11-17,142,0,0.0,354,0,0.0,2000,0.007039943169341923,0.005775848173219981
2000-11-20,291,0,0.0,432,0,0.0,2000,0.006035927105084896,0.005775848173219981
2000-11-21,286,0,0.0,313,0,0.0,2000,0.005382332333843065,0.005775848173219981
2000-11-22,353,3,0.0084985835694051,704,0,0.0,2000,0.005561125244881751,0.005775848173219981
2000-11-24,95,0,0.0,136,0,0.0,2000,0.0024443793389123908,0.005775848173219981
2000-11-27,414,0,0.0,328,0,0.0,2000,0.0024443793389123908,0.005775848173219981
2000-11-28,492,0,0.0,590,0,0.0,2000,0.0024443793389123908,0.005775848173219981
2000-11-29,207,0,0.0,422,0,0.0,2000,0.0013399616682296597,0.005434717568931482
2000-11-30,700,2,0.002857142857142857,799,0,0.0,2000,0.0012741691676545507,0.005209274734792995
2000-12-01,316,0,0.0,749,0,0.0,2000,0.0012741691676545507,0.005209274734792995
2000-12-04,411,0,0.0,280,0,0.0,2000,0.0012741691676545507,0.005209274734792995
2000-12-05,630,3,0.004761904761904762,838,1,0.0011933174224343676,2000,0.0014328993263847093,0.0045742881495489055
2000-12-06,443,0,0.0,898,0,0.0,2000,0.0014328993263847093,0.004242062235927643
2000-12-07,350,2,0.005714285714285714,728,0,0.0,2000,0.0016233755168608998,0.004242062235927643
2000-12-08,317,17,0.05362776025236593,1083,3,0.002770083102493075,2000,0.003410967525273097,0.0043343983393440795
2000-12-11,424,0,0.0,631,2,0.003169572107765452,2000,0.003410967525273097,0.004440050742936261
2000-12-12,263,0,0.0,545,2,0.003669724770642202,2000,0.003410967525273097,0.0041591490955060545
2000-12-13,443,3,0.006772009029345372,1523,0,0.0,2000,0.00363670115958461,0.0041591490955060545
2000-12-14,275,0,0.0,884,0,0.0,2000,0.0032756903292597,0.0041591490955060545
2000-12-15,694,4,0.005763688760806916,1398,0,0.0,2000,0.003467813287953264,0.0041591490955060545
2000-12-18,410,0,0.0,391,0,0.0,2000,0.003467813287953264,0.0041591490955060545
2000-12-19,489,1,0.002044989775051125,918,0,0.0,2000,0.0035359796137883013,0.0041591490955060545
